time, lin_acc_x, lin_acc_y, lin_acc_z, ang_vel_x, ang_vel_y, ang_vel_z
2.3166668,8.36196,5.1297755,-5.0700146e-06,-0.00092193,-0.00056416285,0.23629728
2.3333335,8.405348,5.0584946,-4.9692744e-06,-0.0008304698,-0.00049551745,0.36402223
2.3500001,8.459718,4.9670863,-5.408341e-06,-0.0007592963,-0.0004403783,0.48820764
2.3666668,8.526096,4.8523054,-6.3712923e-06,-0.0006664038,-0.00037194436,0.61539817
2.3833334,8.603305,4.714099,-6.0634775e-06,-0.00057570444,-0.00030826632,0.74178934
2.4,8.690185,4.551982,-4.8668417e-06,-0.00047052102,-0.00023932656,0.8682909
2.4166667,8.785387,4.3654184,-3.844364e-06,-0.00037969626,-0.00018254972,0.99476165
2.4333334,8.896153,4.135307,-9.886985e-06,0.013473795,0.0063315295,0.22473903
2.45,8.931614,4.059087,-2.2391372e-05,0.0039299163,0.0017569672,-3.2093005e-05
2.4666667,8.927634,4.0647616,-1.3952784e-05,0.00333405,0.0015091242,0.0021226339
2.4833333,8.956084,3.99997,8.463596e-06,0.0033216826,0.0014673937,0.0023996255
2.5000002,9.007502,3.884766,5.999067e-06,0.0032018912,0.001379503,0.002202014
2.516667,9.049945,3.784892,-6.024095e-06,0.0032258418,0.0013485125,-3.142154e-05
2.5333335,9.088938,3.6902168,-5.735383e-06,0.0038052055,0.0015457742,0.0027832685
2.5500002,9.127789,3.5931165,-5.2309692e-06,0.0033579243,0.0013226916,-2.7619975e-05
2.5666668,9.168584,3.4874895,-4.7102662e-06,0.0042946413,0.0016346269,-2.1764045e-05
2.5833335,9.215099,3.3626318,-7.2342073e-06,0.008254023,0.0030303898,-0.016587052
2.6000001,9.239178,3.296209,-9.8270775e-06,0.0016751417,0.0006000281,-0.044402905
2.6166668,9.246789,3.2738743,-6.213155e-06,0.0011102812,0.0003891497,-0.06297405
2.6333334,9.277029,3.1872945,1.0167678e-06,0.00039741024,0.00013642153,-0.030206608
2.65,9.316311,3.072187,-1.8943051e-06,0.00021111938,7.0016154e-05,0.08686164
2.6666667,9.35488,2.952877,-5.3097306e-06,0.00018075887,5.6811823e-05,0.21564955
2.6833334,9.397238,2.8154604,-5.69041e-06,4.8105507e-05,1.4034028e-05,0.34029502
2.7,9.440707,2.666122,-5.2054575e-06,-2.9698884e-05,-8.419865e-06,0.45837733
2.7166667,9.476548,2.5358706,-2.952275e-06,-0.0037037383,-0.0009854425,0.0043637445
2.7333336,9.508992,2.4109783,-5.221258e-06,0.008403444,0.0021454266,-0.0022178518
2.7500002,9.545247,2.2670949,-1.1864382e-05,0.0081331665,0.001993198,-0.0021807519
2.766667,9.554024,2.22686,-1.4584388e-05,0.0044095204,0.0010408793,-0.013425351
2.7833335,9.557984,2.204607,-4.892228e-06,0.002856838,0.0006501056,-0.0031433841
2.8000002,9.575002,2.1306734,9.89633e-07,0.000637376,0.00013972557,-0.00020083504
2.8166668,9.591032,2.059028,-1.8096953e-06,0.0003219562,6.843949e-05,-0.0059291827
2.8333335,9.606505,1.9866894,-5.4397347e-06,0.0008479579,0.00017468452,-0.0067066303
2.8500001,9.619542,1.9234939,-5.228903e-06,0.0012426332,0.00024914567,-0.0066677053
2.8666668,9.627658,1.8825061,-5.53454e-06,0.0014891577,0.00029214958,-0.0059425645
2.8833334,9.634224,1.8484607,-7.141435e-06,0.0008972817,0.00017233868,-0.0047508976
2.9,9.63936,1.8213696,-6.4214546e-06,0.00079629675,0.00015026885,-0.0046284744
2.9166667,9.644264,1.7952995,-5.1975067e-06,0.0008742885,0.00016259373,-0.0040714825
2.9333334,9.64807,1.7748951,-6.6997545e-06,0.0007943729,0.00014621892,-0.0030620035
2.95,9.650397,1.7622453,-5.9627305e-06,0.00042105134,7.685664e-05,-0.0020978309
2.966667,9.651748,1.7548612,-5.773082e-06,0.0001714949,3.1171e-05,-0.001432037
