lin_acc_x, lin_acc_y, lin_acc_z
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.05,-0.0
5.607,8.05,-0.0
5.609,8.049,-0.0
5.612,8.046,-0.0
5.617,8.043,-0.0
5.623,8.039,-0.0
5.631,8.033,-0.0
5.641,8.026,-0.0
5.653,8.017,-0.0
5.668,8.007,-0.0
5.685,7.995,-0.0
5.705,7.981,-0.0
5.726,7.966,-0.0
5.75,7.948,-0.0
5.776,7.929,-0.0
5.804,7.909,-0.0
5.833,7.887,-0.0
5.864,7.864,-0.0
5.897,7.839,-0.0
5.93,7.815,-0.0
5.965,7.788,-0.0
6.0,7.761,-0.0
6.037,7.732,-0.0
6.071,7.706,-0.0
6.109,7.676,-0.0
6.148,7.645,-0.0
6.175,7.623,-0.0
6.203,7.6,-0.0
6.238,7.571,-0.0
6.262,7.551,-0.0
6.284,7.533,-0.0
6.306,7.514,-0.0
6.328,7.496,-0.0
6.348,7.479,-0.0
6.364,7.466,-0.0
6.377,7.455,-0.0
6.388,7.445,-0.0
6.398,7.437,-0.0
6.406,7.43,-0.0
6.412,7.425,-0.0
6.416,7.421,-0.0
6.419,7.419,-0.0
6.42,7.417,-0.0
6.421,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.421,7.416,-0.0
6.42,7.417,-0.0
6.418,7.419,-0.0
6.414,7.422,-0.0
6.41,7.426,-0.0
6.404,7.432,-0.0
6.396,7.439,-0.0
6.385,7.447,-0.0
6.373,7.458,-0.0
6.358,7.471,-0.0
6.342,7.485,-0.0
6.322,7.501,-0.0
6.301,7.519,-0.0
6.277,7.539,-0.0
6.252,7.56,-0.0
6.224,7.583,-0.0
6.196,7.606,-0.0
6.164,7.631,-0.0
6.131,7.658,-0.0
6.099,7.684,-0.0
6.064,7.711,-0.0
6.028,7.739,-0.0
5.992,7.767,-0.0
5.957,7.795,-0.0
5.921,7.821,-0.0
5.89,7.845,-0.0
5.858,7.869,-0.0
5.826,7.893,-0.0
5.796,7.914,-0.0
5.768,7.935,-0.0
5.743,7.953,-0.0
5.72,7.97,-0.0
5.699,7.985,-0.0
5.68,7.998,-0.0
5.664,8.01,-0.0
5.65,8.02,-0.0
5.638,8.028,-0.0
5.628,8.035,-0.0
5.621,8.04,-0.0
5.615,8.044,-0.0
5.611,8.047,-0.0
5.608,8.049,-0.0
5.607,8.05,-0.0
5.606,8.05,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.051,-0.0
5.606,8.05,-0.0
5.607,8.049,-0.0
5.609,8.048,-0.0
5.613,8.045,-0.0
5.619,8.042,-0.0
5.626,8.037,-0.0
5.634,8.031,-0.0
5.645,8.023,-0.0
5.658,8.014,-0.0
5.675,8.002,-0.0
5.694,7.988,-0.0
5.712,7.976,-0.0
5.734,7.96,-0.0
5.759,7.942,-0.0
5.786,7.922,-0.0
5.815,7.901,-0.0
5.845,7.878,-0.0
5.876,7.855,-0.0
5.908,7.831,-0.0
5.942,7.806,-0.0
5.976,7.78,-0.0
6.011,7.753,-0.0
6.047,7.725,-0.0
6.082,7.697,-0.0
6.117,7.669,-0.0
6.149,7.643,-0.0
6.181,7.617,-0.0
6.211,7.593,-0.0
6.24,7.57,-0.0
6.267,7.547,-0.0
6.291,7.527,-0.0
6.314,7.508,-0.0
6.334,7.491,-0.0
6.352,7.476,-0.0
6.367,7.463,-0.0
6.381,7.452,-0.0
6.392,7.442,-0.0
6.401,7.434,-0.0
6.408,7.428,-0.0
6.413,7.424,-0.0
6.417,7.42,-0.0
6.419,7.418,-0.0
6.421,7.417,-0.0
6.422,7.416,-0.0
6.422,7.416,-0.0
6.423,7.415,-0.0
6.429,7.41,-0.0
6.444,7.397,0.0
6.464,7.379,0.0
6.487,7.36,0.0
6.518,7.333,0.0
6.559,7.297,0.0
6.646,7.221,0.001
6.745,7.136,0.001
6.858,7.037,0.002
6.978,6.932,0.003
6.927,6.975,0.002
6.982,6.926,0.003
7.098,6.824,0.004
7.052,6.863,0.003
7.019,6.89,0.003
6.843,7.042,0.0
6.912,6.979,0.003
6.891,6.996,0.001
6.811,7.064,-0.0
7.02,6.879,0.005
6.681,7.176,-0.004
6.582,7.262,0.0
6.742,7.12,0.004
6.387,7.435,-0.007
6.395,7.427,-0.0
6.525,7.313,0.002
6.33,7.487,-0.004
6.117,7.679,-0.005
6.138,7.662,-0.002
6.278,7.539,0.001
6.121,7.681,-0.004
5.99,7.801,-0.003
6.012,7.783,-0.001
6.073,7.73,-0.001
6.113,7.695,-0.001
6.162,7.652,-0.001
6.044,7.76,-0.002
6.02,7.783,-0.002
6.221,7.601,0.001
6.297,7.533,-0.0
6.335,7.499,-0.001
6.403,7.437,-0.0
6.482,7.365,-0.0
6.516,7.334,-0.0
6.539,7.313,-0.0
6.562,7.292,-0.0
6.581,7.275,-0.0
6.593,7.264,-0.0
6.596,7.262,-0.0
6.594,7.263,-0.0
6.589,7.267,-0.0
6.583,7.273,-0.0
6.574,7.281,-0.0
6.563,7.291,-0.0
6.549,7.304,-0.0
6.532,7.319,-0.0
6.514,7.335,-0.0
6.492,7.355,-0.0
6.467,7.377,-0.0
6.439,7.401,-0.0
6.41,7.426,-0.0
6.378,7.454,-0.0
6.343,7.484,-0.0
6.307,7.513,-0.0
6.269,7.545,-0.0
